"","make","year","transtype","youSaveSpend"
"261","Ford",2013,"Automatic",-131750
"262","Ford",2013,"Manual",250
"263","Ford",2014,"Automatic",-131500
"264","Ford",2014,"Manual",4000
"265","Ford",2015,"Automatic",-40000
"266","Ford",2015,"Manual",12000
"267","GMC",2004,"Automatic",-326750
"268","GMC",2004,"Manual",-43250
"269","GMC",2005,"Automatic",-333250
"270","GMC",2005,"Manual",-30500
"271","GMC",2006,"Automatic",-249250
"272","GMC",2006,"Manual",-36000
"273","GMC",2007,"Automatic",-310500
"274","GMC",2007,"Manual",-15250
"275","GMC",2008,"Automatic",-253000
"276","GMC",2008,"Manual",-6500
"277","GMC",2009,"Automatic",-278250
"278","GMC",2009,"Manual",-5250
"279","GMC",2010,"Automatic",-164500
"280","GMC",2010,"Manual",-4250
"281","GMC",2011,"Automatic",-243750
"282","GMC",2011,"Manual",-4250
"283","GMC",2012,"Automatic",-251750
"284","GMC",2012,"Manual",-4250
"285","GMC",2013,"Automatic",-196250
"286","GMC",2014,"Automatic",-143000
"287","GMC",2015,"Automatic",-176000
"288","GMC",2015,"Manual",-750
"289","Honda",2004,"Automatic",7500
"290","Honda",2004,"Manual",9250
"291","Honda",2005,"Automatic",7750
"292","Honda",2005,"Manual",9250
"293","Honda",2006,"Automatic",-6750
"294","Honda",2006,"Manual",-4000
"295","Honda",2007,"Automatic",-7500
"296","Honda",2007,"Manual",-6000
"297","Honda",2008,"Automatic",-8500
"298","Honda",2008,"Manual",-5250
"299","Honda",2009,"Automatic",-7000
"300","Honda",2009,"Manual",-5500
"301","Honda",2010,"Automatic",-1500
"302","Honda",2010,"Manual",-3000
"303","Honda",2011,"Automatic",6500
"304","Honda",2011,"Manual",2750
"305","Honda",2012,"Automatic",15750
"306","Honda",2012,"Manual",5250
"307","Honda",2013,"Automatic",26000
"308","Honda",2013,"Manual",5500
"309","Honda",2014,"Automatic",36250
"310","Honda",2014,"Manual",4000
"311","Honda",2015,"Automatic",29500
"312","Honda",2015,"Manual",5750
"313","Hummer",2006,"Automatic",-4250
"314","Hummer",2006,"Manual",-4250
"315","Hummer",2007,"Automatic",-5250
"316","Hummer",2007,"Manual",-5250
"317","Hummer",2008,"Automatic",-11500
"318","Hummer",2008,"Manual",-5250
"319","Hummer",2009,"Automatic",-21000
"320","Hummer",2009,"Manual",-8500
"321","Hummer",2010,"Automatic",-21000
"322","Hummer",2010,"Manual",-10500
"323","Hyundai",2004,"Automatic",-20500
"324","Hyundai",2004,"Manual",-5250
"325","Hyundai",2005,"Automatic",-25000
"326","Hyundai",2005,"Manual",-7750
"327","Hyundai",2006,"Automatic",-23000
"328","Hyundai",2006,"Manual",-6000
"329","Hyundai",2007,"Automatic",-27000
"330","Hyundai",2007,"Manual",-7750
"331","Hyundai",2008,"Automatic",-25500
"332","Hyundai",2008,"Manual",-7750
"333","Hyundai",2009,"Automatic",-26500
"334","Hyundai",2009,"Manual",-2750
"335","Hyundai",2010,"Automatic",-15750
"336","Hyundai",2010,"Manual",5000
"337","Hyundai",2011,"Automatic",-14000
"338","Hyundai",2011,"Manual",1750
"339","Hyundai",2012,"Automatic",-18000
"340","Hyundai",2012,"Manual",750
"341","Hyundai",2013,"Automatic",-2000
"342","Hyundai",2013,"Manual",5750
"343","Hyundai",2014,"Automatic",-9500
"344","Hyundai",2014,"Manual",3250
"345","Hyundai",2015,"Automatic",-6250
